Personality,agentType,nrPlayers,nrCrazyInvestors,nrHighRollerInvestors,nrNormalInvestors,nrSafeBetterInvestors,nrCrazyManagers,nrHighRollerManagers,nrNormalManagers,nrSafeBetterManagers,nrCompanies,nrBlueCompanies,nrGreenCompanies,nrYellowCompanies,nrRedCompanies,finalCapital,winner
HighRoller,manager,6,0,1,2,0,0,2,0,1,10,3,3,2,2,330,false
SafeBetter,investor,6,0,2,0,1,0,1,1,1,8,2,2,1,3,290,true
HighRoller,investor,6,0,2,0,1,0,1,1,1,8,2,2,1,3,95,false
HighRoller,investor,6,0,2,0,1,0,1,1,1,8,2,2,1,3,95,false
Normal,manager,6,0,2,0,1,0,1,1,1,8,2,2,1,3,265,false
HighRoller,manager,6,0,2,0,1,0,1,1,1,8,2,2,1,3,140,false
SafeBetter,manager,6,0,2,0,1,0,1,1,1,8,2,2,1,3,475,true
Normal,investor,6,0,1,1,1,1,2,0,0,4,1,0,3,0,150,false
HighRoller,investor,6,0,1,1,1,1,2,0,0,4,1,0,3,0,150,false
SafeBetter,investor,6,0,1,1,1,1,2,0,0,4,1,0,3,0,310,true
Crazy,manager,6,0,1,1,1,1,2,0,0,4,1,0,3,0,200,false
HighRoller,manager,6,0,1,1,1,1,2,0,0,4,1,0,3,0,200,false
HighRoller,manager,6,0,1,1,1,1,2,0,0,4,1,0,3,0,350,true
Normal,investor,6,1,1,1,0,1,1,0,1,9,2,3,2,2,390,true
Crazy,investor,6,1,1,1,0,1,1,0,1,9,2,3,2,2,120,false
HighRoller,investor,6,1,1,1,0,1,1,0,1,9,2,3,2,2,-50,false
Crazy,manager,6,1,1,1,0,1,1,0,1,9,2,3,2,2,60,false
SafeBetter,manager,6,1,1,1,0,1,1,0,1,9,2,3,2,2,330,true
HighRoller,manager,6,1,1,1,0,1,1,0,1,9,2,3,2,2,150,false
Crazy,investor,6,1,0,1,1,1,0,1,1,11,3,3,3,2,425,true
SafeBetter,investor,6,1,0,1,1,1,0,1,1,11,3,3,3,2,300,false
Normal,investor,6,1,0,1,1,1,0,1,1,11,3,3,3,2,420,false
Crazy,manager,6,1,0,1,1,1,0,1,1,11,3,3,3,2,450,false
SafeBetter,manager,6,1,0,1,1,1,0,1,1,11,3,3,3,2,685,true
Normal,manager,6,1,0,1,1,1,0,1,1,11,3,3,3,2,610,false
Crazy,investor,6,1,1,0,1,0,0,1,2,5,1,2,2,0,15,false
HighRoller,investor,6,1,1,0,1,0,0,1,2,5,1,2,2,0,15,false
SafeBetter,investor,6,1,1,0,1,0,0,1,2,5,1,2,2,0,95,true
SafeBetter,manager,6,1,1,0,1,0,0,1,2,5,1,2,2,0,75,false
SafeBetter,manager,6,1,1,0,1,0,0,1,2,5,1,2,2,0,185,false
Normal,manager,6,1,1,0,1,0,0,1,2,5,1,2,2,0,245,true
